paes_matematicas,paes_lenguaje,nem,promedio_1anio,promedio_2anio,horas_estudio_semanal,asistencia_pct,cursos_reprobados,ingreso_familiar_miles,distancia_universidad_km,tipo_colegio,trabaja,horas_trabajo_semanal,actividades_extracurriculares,numero_hermanos,promedio_final
850.0,801.7,7.0,5.16,5.2,3.9,54.3,0,165700.0,5.9,1,0,0.0,0,0,6.86
682.6,656.4,7.0,5.5,5.45,7.4,75.8,0,285000.0,21.9,2,0,0.0,0,3,6.61
672.9,701.6,7.0,5.06,5.07,27.1,92.4,0,2047200.0,8.1,1,1,6.8,1,1,6.91
478.7,557.9,7.0,4.99,5.05,9.2,82.7,0,378100.0,10.7,1,1,20.9,1,1,5.4
766.3,757.3,7.0,5.04,5.12,19.3,83.9,1,1615100.0,9.5,0,0,0.0,1,1,6.24
749.3,667.3,7.0,4.86,4.89,4.4,88.2,2,691500.0,27.2,0,0,0.0,0,2,6.0
662.2,711.1,7.0,5.12,5.19,17.3,78.2,1,144700.0,1.3,2,0,0.0,1,1,6.67
731.3,730.0,7.0,4.48,4.62,15.5,69.0,0,543700.0,12.2,1,1,12.0,1,1,5.83
597.6,644.4,7.0,5.22,5.21,3.6,64.2,1,4312500.0,10.1,2,1,15.9,0,2,5.6
591.9,540.3,7.0,4.19,4.35,15.7,94.7,0,1177500.0,6.9,1,0,0.0,1,1,5.92
604.1,657.9,7.0,4.67,4.63,13.9,92.2,0,579100.0,4.6,0,1,9.6,0,2,6.63
597.9,656.0,7.0,4.6,4.73,4.6,81.2,0,1120700.0,9.4,1,0,0.0,0,0,6.33
801.5,781.7,7.0,5.24,5.35,5.2,90.0,1,1216900.0,8.3,0,0,0.0,1,1,6.57
655.7,746.1,7.0,4.77,4.77,24.2,89.2,0,1026900.0,6.1,2,0,0.0,0,0,6.6
606.2,644.9,7.0,4.83,4.98,10.1,75.1,2,2277700.0,8.7,2,1,4.6,1,3,5.62
616.8,633.8,7.0,4.45,4.73,7.4,81.5,0,539500.0,5.7,1,0,0.0,1,1,5.58
549.6,630.7,7.0,4.55,4.69,36.1,71.1,1,1510000.0,2.7,2,1,5.4,0,2,5.97
618.9,683.1,7.0,4.26,4.3,21.1,86.3,0,3005400.0,8.0,0,0,0.0,0,3,6.11
643.7,721.9,7.0,5.14,5.11,12.2,83.2,2,212100.0,10.2,1,0,0.0,0,0,6.28
834.5,791.6,7.0,5.25,5.34,8.5,79.5,1,251000.0,23.4,1,0,0.0,1,2,6.67
680.3,749.4,7.0,5.0,5.07,5.0,81.7,1,455400.0,10.7,0,0,0.0,0,2,6.32
850.0,771.2,7.0,5.34,5.38,15.7,81.3,2,2330500.0,15.0,0,1,3.7,1,2,6.61
496.8,520.7,7.0,4.52,4.7,17.5,97.4,0,831400.0,7.5,0,0,0.0,1,1,5.91
596.8,640.5,7.0,4.53,4.62,22.5,73.8,0,927100.0,8.3,1,0,0.0,1,1,6.53
